[04:54:53] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[04:54:53] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:54:53] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:54:53] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:54:53] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:54:53] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:54:53] [main/INFO]: Reloading ResourceManager: Default
[04:54:54] [Worker-Main-4/INFO]: Loaded 7 recipes
[04:54:55] [Worker-Main-4/INFO]: Loaded 927 advancements
[04:54:57] [Server thread/INFO]: Starting minecraft server version 1.16.5
[04:54:57] [Server thread/INFO]: Loading properties
[04:54:57] [Server thread/INFO]: Default game type: SURVIVAL
[04:54:57] [Server thread/INFO]: Generating keypair
[04:54:57] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:54:57] [Server thread/INFO]: Using epoll channel type
[04:54:57] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[04:54:57] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[04:54:57] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[04:54:57] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[04:54:57] [Server thread/INFO]: Preparing level "world"
[04:55:05] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:55:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:55:05] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[04:55:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[04:55:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[04:55:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[04:55:07] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[04:55:08] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[04:55:08] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[04:55:09] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[04:55:09] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[04:55:10] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[04:55:10] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[04:55:11] [Worker-Main-6/INFO]: Preparing spawn area: 6%
[04:55:11] [Worker-Main-4/INFO]: Preparing spawn area: 6%
[04:55:12] [Worker-Main-4/INFO]: Preparing spawn area: 6%
[04:55:12] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[04:55:13] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[04:55:13] [Worker-Main-5/INFO]: Preparing spawn area: 16%
[04:55:14] [Worker-Main-4/INFO]: Preparing spawn area: 16%
[04:55:14] [Worker-Main-4/INFO]: Preparing spawn area: 23%
[04:55:15] [Worker-Main-4/INFO]: Preparing spawn area: 23%
[04:55:15] [Worker-Main-5/INFO]: Preparing spawn area: 29%
[04:55:16] [Worker-Main-5/INFO]: Preparing spawn area: 29%
[04:55:16] [Worker-Main-5/INFO]: Preparing spawn area: 33%
[04:55:17] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[04:55:17] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[04:55:18] [Worker-Main-4/INFO]: Preparing spawn area: 40%
[04:55:18] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[04:55:19] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[04:55:19] [Worker-Main-5/INFO]: Preparing spawn area: 49%
[04:55:20] [Worker-Main-6/INFO]: Preparing spawn area: 53%
[04:55:21] [Worker-Main-5/INFO]: Preparing spawn area: 55%
[04:55:21] [Worker-Main-5/INFO]: Preparing spawn area: 62%
[04:55:21] [Worker-Main-4/INFO]: Preparing spawn area: 66%
[04:55:22] [Worker-Main-6/INFO]: Preparing spawn area: 69%
[04:55:23] [Worker-Main-4/INFO]: Preparing spawn area: 71%
[04:55:23] [Worker-Main-4/INFO]: Preparing spawn area: 71%
[04:55:23] [Worker-Main-4/INFO]: Preparing spawn area: 71%
[04:55:24] [Worker-Main-6/INFO]: Preparing spawn area: 82%
[04:55:24] [Worker-Main-4/INFO]: Preparing spawn area: 86%
[04:55:25] [Worker-Main-5/INFO]: Preparing spawn area: 86%
[04:55:25] [Worker-Main-5/INFO]: Preparing spawn area: 86%
[04:55:26] [Worker-Main-4/INFO]: Preparing spawn area: 96%
[04:55:26] [Server thread/INFO]: Time elapsed: 21070 ms
[04:55:26] [Server thread/INFO]: Done (28.588s)! For help, type "help"
